******************************* K-fold cross-validation ： 1 ******************************* 
C : 19 , PolynomialOrder: 2 , resultLoss: 0.18519 , Support Vectors: 57
C : 19 , PolynomialOrder: 3 , resultLoss: 0.18519 , Support Vectors: 53
C : 19 , PolynomialOrder: 4 , resultLoss: 0.18519 , Support Vectors: 51
C : 20 , PolynomialOrder: 2 , resultLoss: 0.18519 , Support Vectors: 57
C : 20 , PolynomialOrder: 3 , resultLoss: 0.18519 , Support Vectors: 53
C : 20 , PolynomialOrder: 4 , resultLoss: 0.18519 , Support Vectors: 51
C : 1 , PolynomialOrder: 2 , resultLoss: 100 , Support Vectors: 63
C : 1 , PolynomialOrder: 3 , resultLoss: 0.2963 , Support Vectors: 63
C : 1 , PolynomialOrder: 4 , resultLoss: 0.14815 , Support Vectors: 58
C : 2 , PolynomialOrder: 2 , resultLoss: 0.14815 , Support Vectors: 63
C : 2 , PolynomialOrder: 3 , resultLoss: 0.14815 , Support Vectors: 58
C : 2 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 53
C : 3 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 60
C : 3 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 55
C : 3 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 50
C : 4 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 59
C : 4 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 52
C : 4 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 49
C : 5 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 57
C : 5 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 51
C : 5 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 47
C : 6 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 56
C : 6 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 50
C : 6 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 46
C : 7 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 54
C : 7 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 48
C : 7 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 46
C : 8 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 53
C : 8 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 48
C : 8 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 45
C : 9 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 50
C : 9 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 47
C : 9 , PolynomialOrder: 4 , resultLoss: 0.12037 , Support Vectors: 45
C : 10 , PolynomialOrder: 2 , resultLoss: 0.12037 , Support Vectors: 51
C : 10 , PolynomialOrder: 3 , resultLoss: 0.12037 , Support Vectors: 46
