C :19 , Sigma: 0.6 , resultLoss: 0.175 , Support Vectors: 60
C :19 , Sigma: 0.7 , resultLoss: 0.175 , Support Vectors: 62
C :19 , Sigma: 0.8 , resultLoss: 0.175 , Support Vectors: 64
C :19 , Sigma: 0.9 , resultLoss: 0.175 , Support Vectors: 65
C :19 , Sigma: 1 , resultLoss: 0.175 , Support Vectors: 66
C :20 , Sigma: 0.1 , resultLoss: 0.175 , Support Vectors: 64
C :20 , Sigma: 0.2 , resultLoss: 0.175 , Support Vectors: 61
C :20 , Sigma: 0.3 , resultLoss: 0.175 , Support Vectors: 57
C :20 , Sigma: 0.4 , resultLoss: 0.175 , Support Vectors: 58
C :20 , Sigma: 0.5 , resultLoss: 0.175 , Support Vectors: 59
C :20 , Sigma: 0.6 , resultLoss: 0.175 , Support Vectors: 60
C :20 , Sigma: 0.7 , resultLoss: 0.175 , Support Vectors: 62
C :20 , Sigma: 0.8 , resultLoss: 0.175 , Support Vectors: 64
C :20 , Sigma: 0.9 , resultLoss: 0.175 , Support Vectors: 65
C :20 , Sigma: 1 , resultLoss: 0.175 , Support Vectors: 66
C :1 , Sigma: 0.1 , resultLoss: 100 , Support Vectors: 54
C :1 , Sigma: 0.2 , resultLoss: 0.125 , Support Vectors: 50
C :1 , Sigma: 0.3 , resultLoss: 0.125 , Support Vectors: 55
C :1 , Sigma: 0.4 , resultLoss: 0.125 , Support Vectors: 61
C :1 , Sigma: 0.5 , resultLoss: 0.125 , Support Vectors: 66
C :1 , Sigma: 0.6 , resultLoss: 0.125 , Support Vectors: 66
C :1 , Sigma: 0.7 , resultLoss: 0.125 , Support Vectors: 66
C :1 , Sigma: 0.8 , resultLoss: 0.125 , Support Vectors: 67
C :1 , Sigma: 0.9 , resultLoss: 0.125 , Support Vectors: 67
C :1 , Sigma: 1 , resultLoss: 0.125 , Support Vectors: 67
C :2 , Sigma: 0.1 , resultLoss: 0.125 , Support Vectors: 52
C :2 , Sigma: 0.2 , resultLoss: 0.125 , Support Vectors: 49
C :2 , Sigma: 0.3 , resultLoss: 0.125 , Support Vectors: 49
C :2 , Sigma: 0.4 , resultLoss: 0.125 , Support Vectors: 54
C :2 , Sigma: 0.5 , resultLoss: 0.125 , Support Vectors: 59
C :2 , Sigma: 0.6 , resultLoss: 0.125 , Support Vectors: 63
C :2 , Sigma: 0.7 , resultLoss: 0.125 , Support Vectors: 66
C :2 , Sigma: 0.8 , resultLoss: 0.125 , Support Vectors: 67
C :2 , Sigma: 0.9 , resultLoss: 0.125 , Support Vectors: 67
C :2 , Sigma: 1 , resultLoss: 0.125 , Support Vectors: 67
C :3 , Sigma: 0.1 , resultLoss: 0.125 , Support Vectors: 49
C :3 , Sigma: 0.2 , resultLoss: 0.125 , Support Vectors: 45
C :3 , Sigma: 0.3 , resultLoss: 0.125 , Support Vectors: 49
C :3 , Sigma: 0.4 , resultLoss: 0.125 , Support Vectors: 51
C :3 , Sigma: 0.5 , resultLoss: 0.125 , Support Vectors: 55
C :3 , Sigma: 0.6 , resultLoss: 0.125 , Support Vectors: 59
